"symptom","rti","year","model","est","lwr","upr","region"
"Vaginal discharge","BV",2020,"Lower and moderate",0.425763724640911,0.223747607200763,0.656028692527003,"Sub-Saharan Africa"
"Vaginal discharge","BV",2020,"Lower only",0.448378516912703,0.19045845249687,0.737416822059668,"Sub-Saharan Africa"
"Vaginal discharge","BV",2021,"Lower, moderate, and higher",0.508000381862668,0.272966281426509,0.739550406326748,"Sub-Saharan Africa"
"Vaginal discharge","BV",2021,"Lower and moderate",0.423026030628787,0.214700157985543,0.662866874864628,"Sub-Saharan Africa"
"Vaginal discharge","BV",2021,"Lower only",0.451958902446063,0.184505902460157,0.750371513014759,"Sub-Saharan Africa"
"Vaginal discharge","BV",2022,"Lower, moderate, and higher",0.50927280687177,0.264328346767946,0.749844436608708,"Sub-Saharan Africa"
"Vaginal discharge","BV",2022,"Lower and moderate",0.420293055846149,0.205782880717314,0.669825131883228,"Sub-Saharan Africa"
"Vaginal discharge","BV",2022,"Lower only",0.455544267574486,0.178639423717686,0.762965178655602,"Sub-Saharan Africa"
"Vaginal discharge","CA",1970,"Lower, moderate, and higher",0.255246302292756,0.0443920749102453,0.716595755121202,"Sub-Saharan Africa"
"Vaginal discharge","CA",1970,"Lower and moderate",0.250241478407434,0.0576694060674673,0.645422846848632,"Sub-Saharan Africa"
"Vaginal discharge","CA",1970,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1971,"Lower, moderate, and higher",0.256492325502278,0.0469669510630105,0.707162929161018,"Sub-Saharan Africa"
"Vaginal discharge","CA",1971,"Lower and moderate",0.251273321340615,0.0603612551436368,0.636795517774671,"Sub-Saharan Africa"
"Vaginal discharge","CA",1971,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1972,"Lower, moderate, and higher",0.257742326294687,0.0496655448190214,0.697628503378635,"Sub-Saharan Africa"
"Vaginal discharge","CA",1972,"Lower and moderate",0.252307987179572,0.0631432932192812,0.628185968693481,"Sub-Saharan Africa"
"Vaginal discharge","CA",1972,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1973,"Lower, moderate, and higher",0.258996296851431,0.052490177896052,0.688008987704352,"Sub-Saharan Africa"
"Vaginal discharge","CA",1973,"Lower and moderate",0.25334547185615,0.0660140738027094,0.619610736447557,"Sub-Saharan Africa"
"Vaginal discharge","CA",1973,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1974,"Lower, moderate, and higher",0.260254229133671,0.0554426110146658,0.67832237242365,"Sub-Saharan Africa"
"Vaginal discharge","CA",1974,"Lower and moderate",0.254385771194743,0.0689714091499322,0.611087323707753,"Sub-Saharan Africa"
"Vaginal discharge","CA",1974,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1975,"Lower, moderate, and higher",0.261516114881491,0.0585239261812075,0.668588179426297,"Sub-Saharan Africa"
"Vaginal discharge","CA",1975,"Lower and moderate",0.255428880911928,0.0720122696468282,0.602634241246701,"Sub-Saharan Africa"
"Vaginal discharge","CA",1975,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1976,"Lower, moderate, and higher",0.262781945613126,0.061734394397281,0.658827513510263,"Sub-Saharan Africa"
"Vaginal discharge","CA",1976,"Lower and moderate",0.256474796616112,0.0751326747435452,0.594271054795801,"Sub-Saharan Africa"
"Vaginal discharge","CA",1976,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1977,"Lower, moderate, and higher",0.264051712624221,0.0650733281698391,0.649063113330995,"Sub-Saharan Africa"
"Vaginal discharge","CA",1977,"Lower and moderate",0.257523513807175,0.0783275757982854,0.586018436315347,"Sub-Saharan Africa"
"Vaginal discharge","CA",1977,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1978,"Lower, moderate, and higher",0.265325406987098,0.0685389186017527,0.639319401156196,"Sub-Saharan Africa"
"Vaginal discharge","CA",1978,"Lower and moderate",0.258575027876135,0.0815907316707734,0.577898219008251,"Sub-Saharan Africa"
"Vaginal discharge","CA",1978,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1979,"Lower, moderate, and higher",0.266603019550057,0.072128057449542,0.629622529974716,"Sub-Saharan Africa"
"Vaginal discharge","CA",1979,"Lower and moderate",0.259629334104804,0.084914578580399,0.56993345468773,"Sub-Saharan Africa"
"Vaginal discharge","CA",1979,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1980,"Lower, moderate, and higher",0.267884540936683,0.0758361453977795,0.62000042568536,"Sub-Saharan Africa"
"Vaginal discharge","CA",1980,"Lower and moderate",0.260686427665462,0.0882900966631262,0.562148471109179,"Sub-Saharan Africa"
"Vaginal discharge","CA",1980,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1981,"Lower, moderate, and higher",0.269169961545188,0.0796568889746715,0.610482821041769,"Sub-Saharan Africa"
"Vaginal discharge","CA",1981,"Lower and moderate",0.261746303620533,0.0917066768811954,0.554568925536597,"Sub-Saharan Africa"
"Vaginal discharge","CA",1981,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1982,"Lower, moderate, and higher",0.270459271547767,0.0835820900677005,0.601101276767919,"Sub-Saharan Africa"
"Vaginal discharge","CA",1982,"Lower and moderate",0.262808956922268,0.0951519935116073,0.547221849088089,"Sub-Saharan Africa"
"Vaginal discharge","CA",1982,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1983,"Lower, moderate, and higher",0.27175246088998,0.0876014339128066,0.591889183852631,"Sub-Saharan Africa"
"Vaginal discharge","CA",1983,"Lower and moderate",0.263874382412435,0.0986118893928344,0.54013567428225,"Sub-Saharan Africa"
"Vaginal discharge","CA",1983,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1984,"Lower, moderate, and higher",0.273049519290151,0.0917022836932963,0.58288173963139,"Sub-Saharan Africa"
"Vaginal discharge","CA",1984,"Lower and moderate",0.264942574822024,0.102070283424927,0.533340235747826,"Sub-Saharan Africa"
"Vaginal discharge","CA",1984,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1985,"Lower, moderate, and higher",0.274350436238799,0.0958694923745967,0.574115889134876,"Sub-Saharan Africa"
"Vaginal discharge","CA",1985,"Lower and moderate",0.266013528770941,0.10550911238883,0.526866731441979,"Sub-Saharan Africa"
"Vaginal discharge","CA",1985,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1986,"Lower, moderate, and higher",0.275655200998079,0.100085244867244,0.56563022273204,"Sub-Saharan Africa"
"Vaginal discharge","CA",1986,"Lower and moderate",0.267087238767733,0.108908321730763,0.52074762930108,"Sub-Saharan Africa"
"Vaginal discharge","CA",1986,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1987,"Lower, moderate, and higher",0.276963802601258,0.104328945637285,0.557464821866256,"Sub-Saharan Africa"
"Vaginal discharge","CA",1987,"Lower and moderate",0.2681636992093,0.112245922111979,0.515016502597443,"Sub-Saharan Africa"
"Vaginal discharge","CA",1987,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1988,"Lower, moderate, and higher",0.278276229852209,0.108577167883643,0.549661047301851,"Sub-Saharan Africa"
"Vaginal discharge","CA",1988,"Lower and moderate",0.269242904380625,0.115498129597624,0.509707777199598,"Sub-Saharan Africa"
"Vaginal discharge","CA",1988,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1989,"Lower, moderate, and higher",0.279592471324929,0.112803679674937,0.542261269318498,"Sub-Saharan Africa"
"Vaginal discharge","CA",1989,"Lower and moderate",0.270324848454513,0.118639606501706,0.504856376386698,"Sub-Saharan Africa"
"Vaginal discharge","CA",1989,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1990,"Lower, moderate, and higher",0.280912515363079,0.11697955932786,0.535308546917614,"Sub-Saharan Africa"
"Vaginal discharge","CA",1990,"Lower and moderate",0.271409525491328,0.121643816205878,0.500497254735695,"Sub-Saharan Africa"
"Vaginal discharge","CA",1990,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1991,"Lower, moderate, and higher",0.282236350079555,0.121073406490127,0.528846272805752,"Sub-Saharan Africa"
"Vaginal discharge","CA",1991,"Lower and moderate",0.27249692943875,0.124483498022441,0.496664822325194,"Sub-Saharan Africa"
"Vaginal discharge","CA",1991,"Lower only",,,,"Sub-Saharan Africa"
"Vaginal discharge","CA",1992,"Lower, moderate, and higher",0.283563963356077,0.125051647251732,0.522917811011618,"Sub-Saharan Africa"
